latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.305508,100.042572,334.37,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.62,2.8,D,0
16.335724,100.213531,331.35,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.16,2.21,D,0
16.396875,100.56353,336.01,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.47,2.66,D,0
16.496655,101.195137,330.22,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,300.41,2.19,D,0
16.373846,100.348717,340.73,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.55,5.05,D,0
16.405447,100.354622,330.44,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.13,2.61,D,0
16.413774,100.364388,339.98,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,302.5,9.49,D,0
16.436028,100.442329,334.28,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.23,3.21,D,0
16.3353,99.632111,332.81,0.4,0.37,2021-12-01,0630,N,VIIRS,n,1,297.51,2.38,D,0
16.401323,100.026787,332.54,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.4,1.62,D,0
16.46541,100.393127,334.99,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.12,2.81,D,0
16.404493,99.894341,346.49,0.39,0.37,2021-12-01,0630,N,VIIRS,n,1,298.48,5.26,D,0
16.643724,101.226692,334.4,0.38,0.36,2021-12-01,0630,N,VIIRS,n,1,300.02,2.44,D,0
16.488253,100.034767,330.04,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,297.93,2.92,D,0
16.477404,99.965103,329.79,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,299.1,2.94,D,0
16.490032,100.033936,329.82,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,297.26,2.31,D,0
16.390738,99.281906,336.12,0.41,0.37,2021-12-01,0630,N,VIIRS,n,1,298.9,2.88,D,0
16.586187,100.365051,342.08,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,298.65,3.32,D,0
16.608315,100.353958,347.37,0.39,0.36,2021-12-01,0630,N,VIIRS,n,1,300.11,6.43,D,0
