OBJECTID,FID_output_XYTableToPoint,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,id,easting,northing,zone_number,zone_letter,Date,Date_Ordinal,Cluster,FID_อุทยานแห่งชาติแม่ปิง_Merge,AREA,PERIMETER,PROV_CODE,PROV_NAM_T,PROV_NAM_E,REGION,DNPO_CODE,DNPO_TH,LOCATION,TYPT,FR_ID,FR_NAME,PROVINCE,SOURCE,TYPE,F_CODE,KM2,RAI,fullname
1055,2721,17.50959,98.84573,302.97,0.6,0.7,2023-03-02,1810,N,VIIRS,n,2.0NRT,292.04,1.13,N,2721,483624.0097,1935936.478,47,Q,2023-03-02,738581,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1056,864,17.50954,98.74318,331.64,0.42,0.38,2023-03-02,629,1,VIIRS,l,2.0NRT,304.51,3.95,D,864,472738.1189,1935942.696,47,Q,2023-03-02,738581,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1057,730,17.5097,98.85658,315.34,0.56,0.43,2023-03-01,1919,1,VIIRS,n,2.0NRT,294.26,1.95,N,730,484775.7646,1935947.747,47,Q,2023-03-01,738580,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1058,727,17.50977,98.87835,313.16,0.56,0.43,2023-03-01,1919,1,VIIRS,n,2.0NRT,290.68,1.17,N,727,487086.6889,1935953.883,47,Q,2023-03-01,738580,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1059,2996,17.50977,98.81779,339.05,0.39,0.36,2023-03-04,644,N,VIIRS,n,2.0NRT,304.78,2.86,D,2996,480658.1485,1935959.012,47,Q,2023-03-04,738583,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1060,2901,17.50988,98.83204,304.94,0.57,0.52,2023-03-03,1934,N,VIIRS,n,2.0NRT,292.08,2.06,N,2901,482170.8208,1935969.79,47,Q,2023-03-03,738582,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1061,564,17.50997,98.86102,354.54,0.43,0.38,2023-03-01,648,1,VIIRS,n,2.0NRT,309.14,10,D,564,485247.0994,1935977.268,47,Q,2023-03-01,738580,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1062,2278,17.51009,98.73168,339.07,0.41,0.45,2023-02-28,618,N,VIIRS,n,2.0NRT,303.98,3.71,D,2278,471517.4528,1936005.226,47,Q,2023-02-28,738579,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1063,891,17.51024,98.80778,331.3,0.42,0.38,2023-03-02,629,1,VIIRS,l,2.0NRT,304.66,2.66,D,891,479595.622,1936012.053,47,Q,2023-03-02,738581,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
1064,1328,17.5103,98.83612,312.51,0.55,0.43,2023-03-03,1842,1,VIIRS,n,2.0NRT,293.67,1.58,N,1328,482603.9593,1936015.878,47,Q,2023-03-03,738582,3,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
