OBJECTID,FID_output_XYTableToPoint,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,id,easting,northing,zone_number,zone_letter,Date,Date_Ordinal,Cluster,FID_อุทยานแห่งชาติแม่ปิง_Merge,AREA,PERIMETER,PROV_CODE,PROV_NAM_T,PROV_NAM_E,REGION,DNPO_CODE,DNPO_TH,LOCATION,TYPT,FR_ID,FR_NAME,PROVINCE,SOURCE,TYPE,F_CODE,KM2,RAI,fullname
1,795,17.25965,98.9416,303.59,0.57,0.43,2023-03-01,1919,1,VIIRS,n,2.0NRT,293.16,1.24,N,795,493792.3375,1908280.12,47,Q,2023-03-01,738580,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
2,2733,17.26321,98.94473,314.94,0.59,0.7,2023-03-02,1953,N,VIIRS,n,2.0NRT,292.89,2.51,N,2733,494125.1555,1908673.857,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
3,1208,17.26342,98.9453,326.09,0.38,0.36,2023-03-02,1902,1,VIIRS,n,2.0NRT,295.86,3.22,N,1208,494185.7494,1908697.072,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
4,2765,17.26482,98.94162,334.23,0.42,0.45,2023-03-03,701,N,VIIRS,l,2.0NRT,306.03,4.61,D,2765,493794.6363,1908852.066,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
5,1227,17.26501,98.94334,336.77,0.5,0.49,2023-03-03,609,1,VIIRS,n,2.0NRT,304.11,5.57,D,1227,493977.4659,1908873.031,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
6,1226,17.2661,98.94921,332.29,0.5,0.49,2023-03-03,609,1,VIIRS,l,2.0NRT,302.77,5.2,D,1226,494601.4348,1908993.441,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
7,1206,17.26616,98.94941,336.35,0.38,0.36,2023-03-02,1902,1,VIIRS,n,2.0NRT,298.12,4.36,N,1206,494622.695,1909000.073,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
8,1205,17.26672,98.94585,343.45,0.38,0.36,2023-03-02,1902,1,VIIRS,n,2.0NRT,297.42,4.36,N,1205,494244.3132,1909062.128,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
9,1228,17.26855,98.94603,336.47,0.5,0.49,2023-03-03,609,1,VIIRS,n,2.0NRT,302.6,5.73,D,1228,494263.5023,1909264.572,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
10,2732,17.26906,98.94872,309.78,0.59,0.7,2023-03-02,1953,N,VIIRS,n,2.0NRT,291.85,1.43,N,2732,494549.4388,1909320.914,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
11,3219,17.26929,98.93397,307.03,0.4,0.37,2023-03-05,1855,N,VIIRS,n,2.0NRT,293.7,1.24,N,3219,492981.6666,1909346.835,47,Q,2023-03-05,738584,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
12,1394,17.26933,98.95544,320.73,0.54,0.42,2023-03-03,1842,1,VIIRS,n,2.0NRT,294.4,1.92,N,1394,495263.7159,1909350.606,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
13,2768,17.26935,98.94398,333.96,0.42,0.45,2023-03-03,701,N,VIIRS,n,2.0NRT,304.16,4.61,D,2768,494045.6325,1909353.136,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
14,2766,17.26979,98.94751,367,0.42,0.45,2023-03-03,701,N,VIIRS,h,2.0NRT,307.14,8.19,D,2766,494420.8496,1909401.707,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
15,3128,17.26996,98.93791,305.95,0.46,0.39,2023-03-04,1917,N,VIIRS,n,2.0NRT,292.95,1.22,N,3128,493400.4735,1909420.816,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
16,2731,17.27012,98.94404,308.57,0.59,0.7,2023-03-02,1953,N,VIIRS,n,2.0NRT,291.85,1.43,N,2731,494052.0346,1909438.318,47,Q,2023-03-02,738581,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
17,2767,17.27023,98.95101,338.42,0.42,0.45,2023-03-03,701,N,VIIRS,n,2.0NRT,305.88,8.19,D,2767,494792.8762,1909450.285,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
18,2939,17.27055,98.93957,333.01,0.39,0.36,2023-03-04,644,N,VIIRS,l,2.0NRT,305.93,3.15,D,2939,493576.9348,1909486.031,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
19,1382,17.27138,98.95256,325.34,0.54,0.42,2023-03-03,1842,1,VIIRS,n,2.0NRT,294.38,1.77,N,1382,494957.6563,1909577.466,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
20,1409,17.27172,98.92873,352.9,0.52,0.66,2023-03-04,552,1,VIIRS,n,2.0NRT,301.11,20.78,D,1409,492424.8057,1909615.859,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
21,1385,17.27208,98.94722,307.3,0.54,0.42,2023-03-03,1842,1,VIIRS,n,2.0NRT,293.88,1.77,N,1385,494390.0948,1909655.053,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
22,1384,17.27276,98.94202,308.09,0.54,0.42,2023-03-03,1842,1,VIIRS,n,2.0NRT,294.8,1.49,N,1384,493837.4173,1909730.439,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
23,2938,17.27322,98.95771,346.88,0.39,0.36,2023-03-04,644,N,VIIRS,n,2.0NRT,306.62,6.8,D,2938,495505.0887,1909780.895,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
24,2943,17.27335,98.93535,334.41,0.39,0.36,2023-03-04,644,N,VIIRS,n,2.0NRT,307.08,4.01,D,2943,493128.4974,1909795.935,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
25,1408,17.27358,98.93741,367,0.52,0.66,2023-03-04,552,1,VIIRS,h,2.0NRT,301.1,30.45,D,1408,493347.4585,1909821.307,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
26,2942,17.27388,98.93893,342.42,0.39,0.36,2023-03-04,644,N,VIIRS,n,2.0NRT,308.51,9.69,D,2942,493509.0262,1909854.444,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
27,3126,17.27434,98.93405,311.39,0.46,0.39,2023-03-04,1917,N,VIIRS,n,2.0NRT,293.2,1.11,N,3126,492990.3607,1909905.503,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
28,1471,17.27455,98.95925,309.19,0.36,0.57,2023-03-04,1823,1,VIIRS,n,2.0NRT,291.35,1.16,N,1471,495668.803,1909927.995,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
29,1470,17.27484,98.95655,303.8,0.36,0.57,2023-03-04,1823,1,VIIRS,n,2.0NRT,291.33,1.16,N,1470,495381.8351,1909960.139,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
30,1476,17.27499,98.95878,315.05,0.36,0.57,2023-03-04,1823,1,VIIRS,n,2.0NRT,291.6,1.74,N,1476,495618.8585,1909976.682,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
31,2941,17.27548,98.9498,339.47,0.39,0.36,2023-03-04,644,N,VIIRS,n,2.0NRT,308.13,3.88,D,2941,494664.417,1910031.115,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
32,1381,17.27589,98.94821,307.02,0.54,0.42,2023-03-03,1842,1,VIIRS,n,2.0NRT,293.02,1.77,N,1381,494495.4336,1910076.518,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
33,2926,17.27593,98.94425,308.84,0.59,0.53,2023-03-03,1934,N,VIIRS,n,2.0NRT,292.72,3.37,N,2926,494074.5411,1910081.06,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
34,2940,17.27601,98.95342,345.49,0.39,0.36,2023-03-04,644,N,VIIRS,n,2.0NRT,305.17,5.72,D,2940,495049.1884,1910089.652,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
35,1380,17.27655,98.94317,315.31,0.54,0.42,2023-03-03,1842,1,VIIRS,n,2.0NRT,293.59,1.49,N,1380,493959.7721,1910149.683,47,Q,2023-03-03,738582,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
36,3218,17.27657,98.93156,304.11,0.4,0.37,2023-03-05,1855,N,VIIRS,n,2.0NRT,292.63,0.36,N,3218,492725.7931,1910152.296,47,Q,2023-03-05,738584,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
37,2946,17.2772,98.93826,351.5,0.39,0.36,2023-03-04,644,N,VIIRS,n,2.0NRT,306.47,9.69,D,2946,493437.9311,1910221.751,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
38,2945,17.27774,98.94192,348.56,0.39,0.36,2023-03-04,644,N,VIIRS,n,2.0NRT,309.17,9.69,D,2945,493826.9543,1910281.37,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
39,3123,17.27794,98.95628,315.34,0.46,0.39,2023-03-04,1917,N,VIIRS,n,2.0NRT,292.32,1.15,N,3123,495353.2154,1910303.093,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
40,3124,17.27802,98.93424,304.01,0.46,0.39,2023-03-04,1917,N,VIIRS,n,2.0NRT,292.04,1.11,N,3124,493010.6941,1910312.608,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
41,3122,17.2787,98.95181,304.22,0.46,0.39,2023-03-04,1917,N,VIIRS,n,2.0NRT,291.74,1.15,N,3122,494878.1419,1910387.283,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
42,2944,17.27881,98.94921,340.07,0.39,0.36,2023-03-04,644,N,VIIRS,n,2.0NRT,306.08,3.88,D,2944,494601.8049,1910399.523,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
43,3217,17.27992,98.93229,304.19,0.4,0.37,2023-03-05,1855,N,VIIRS,n,2.0NRT,291.95,0.36,N,3217,492803.5119,1910522.873,47,Q,2023-03-05,738584,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
44,1469,17.28008,98.9576,312.54,0.36,0.57,2023-03-04,1823,1,VIIRS,n,2.0NRT,291.37,1.42,N,1469,495493.5638,1910539.805,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
45,3135,17.28031,98.95948,334.3,0.49,0.4,2023-03-05,626,N,VIIRS,n,2.0NRT,300.54,6.79,D,3135,495693.3828,1910565.207,47,Q,2023-03-05,738584,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
46,1468,17.2804,98.95461,307,0.36,0.57,2023-03-04,1823,1,VIIRS,n,2.0NRT,291.2,1.65,N,1468,495175.7833,1910575.279,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
47,1475,17.28054,98.95708,303.72,0.36,0.57,2023-03-04,1823,1,VIIRS,n,2.0NRT,290.93,0.8,N,1475,495438.3075,1910590.707,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
48,1474,17.28089,98.95399,312.16,0.36,0.57,2023-03-04,1823,1,VIIRS,n,2.0NRT,291.13,0.86,N,1474,495109.9003,1910629.502,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
49,3121,17.28164,98.93477,302.07,0.46,0.39,2023-03-04,1917,N,VIIRS,n,2.0NRT,291.49,0.34,N,3121,493067.1606,1910713.062,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
50,2947,17.28215,98.94872,330.45,0.39,0.36,2023-03-04,644,N,VIIRS,l,2.0NRT,302.02,2.22,D,2947,494549.8237,1910769.035,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
51,1570,17.28238,98.92505,304,0.47,0.48,2023-03-06,1925,1,VIIRS,n,2.0NRT,292.71,1,N,1570,492034.1213,1910795.303,47,Q,2023-03-06,738585,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
52,3119,17.28301,98.9484,321.06,0.46,0.39,2023-03-04,1917,N,VIIRS,n,2.0NRT,292.67,1.62,N,3119,494515.8387,1910864.184,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
53,1572,17.28316,98.92651,337.95,0.39,0.36,2023-03-07,635,1,VIIRS,n,2.0NRT,307.87,6.9,D,1572,492189.3268,1910881.533,47,Q,2023-03-07,738586,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
54,3117,17.28319,98.95141,312.29,0.46,0.39,2023-03-04,1917,N,VIIRS,n,2.0NRT,291.85,1.65,N,3117,494835.7532,1910884.014,47,Q,2023-03-04,738583,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
55,3216,17.28327,98.95609,304.82,0.4,0.37,2023-03-05,1855,N,VIIRS,n,2.0NRT,292.2,0.89,N,3216,495333.1555,1910892.745,47,Q,2023-03-05,738584,27,1,247567008,193511,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.5668683,154729.375,อุทยานแห่งชาติ แม่ปิง
