latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.080085,104.917892,334.25,0.59,0.7,2022-02-01,0524,N,VIIRS,n,1,289.63,9.35,D,0
15.081185,104.920547,334.73,0.59,0.7,2022-02-01,0524,N,VIIRS,n,1,289.31,7.75,D,0
15.543892,103.765358,336.91,0.68,0.74,2022-02-01,0524,N,VIIRS,n,1,291.03,6.4,D,0
16.047487,104.991562,331.4,0.56,0.69,2022-02-01,0524,N,VIIRS,n,1,287.63,3.98,D,0
8.964442,99.448135,334.69,0.44,0.46,2022-02-01,0700,N,VIIRS,n,1,299.83,7.44,D,0
9.261254,98.978035,341.11,0.42,0.45,2022-02-01,0700,N,VIIRS,n,1,294.95,2.95,D,0
12.403938,102.719185,340.85,0.41,0.6,2022-02-01,0706,N,VIIRS,n,1,293.55,3.52,D,0
12.840422,101.484932,356.12,0.34,0.56,2022-02-01,0706,N,VIIRS,n,1,294.37,4.55,D,0
13.756162,100.731636,347.19,0.62,0.54,2022-02-01,0706,N,VIIRS,n,1,296.26,66.97,D,0
13.933676,101.112793,332.67,0.33,0.55,2022-02-01,0706,N,VIIRS,n,1,293.76,2.91,D,0
14.0889,101.298424,367,0.34,0.56,2022-02-01,0706,N,VIIRS,h,1,295.2,4.61,D,0
14.088512,101.295189,344.32,0.34,0.56,2022-02-01,0706,N,VIIRS,n,1,294.2,4.61,D,0
14.108983,101.289543,333.62,0.34,0.56,2022-02-01,0706,N,VIIRS,n,1,292.51,2.43,D,0
14.109543,101.29039,332.62,0.34,0.56,2022-02-01,0706,N,VIIRS,n,1,291.39,2.49,D,0
14.109175,101.287155,334.07,0.34,0.56,2022-02-01,0706,N,VIIRS,n,1,291.2,2.33,D,0
14.276896,102.434898,331.7,0.41,0.61,2022-02-01,0706,N,VIIRS,n,1,293.93,7.49,D,0
13.996428,99.793076,331.12,0.54,0.51,2022-02-01,0706,N,VIIRS,n,1,298.61,4.84,D,0
14.171051,99.786888,354.57,0.55,0.51,2022-02-01,0706,N,VIIRS,n,1,298.03,12.26,D,0
14.128872,99.144257,332.31,0.49,0.49,2022-02-01,0706,N,VIIRS,n,1,298.57,1.86,D,0
14.399739,100.900658,334.56,0.33,0.55,2022-02-01,0706,N,VIIRS,n,1,294.05,3.28,D,0
14.205905,99.122841,332.57,0.49,0.49,2022-02-01,0706,N,VIIRS,n,1,297.17,5.78,D,0
14.205416,98.831856,341.71,0.47,0.48,2022-02-01,0706,N,VIIRS,n,1,299.36,4.72,D,0
14.241521,99.043289,337.1,0.49,0.48,2022-02-01,0706,N,VIIRS,n,1,302.24,5.06,D,0
14.417708,99.181442,340.63,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,301.84,6.18,D,0
14.472223,99.175224,348.52,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,301.12,6.05,D,0
14.57056,99.14576,336.3,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,303.04,6.29,D,3
14.580772,99.153633,343.63,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,303.71,7.5,D,3
14.580162,99.148827,348.2,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,304.96,8.69,D,0
14.590413,99.156952,349.37,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,304.71,7.62,D,0
14.594233,99.150795,337.73,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,303.15,7.62,D,0
14.598717,99.149857,341.42,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,303,4.53,D,0
14.591826,99.158424,345.56,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,304.58,7.16,D,0
14.5912,99.153198,331.58,0.5,0.49,2022-02-01,0706,N,VIIRS,l,1,302.83,7.16,D,0
14.595677,99.152092,334.62,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,304.49,3.39,D,0
14.600173,99.151161,334.08,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,300.51,3.39,D,0
14.630302,99.133835,332.81,0.5,0.49,2022-02-01,0706,N,VIIRS,n,1,302.4,3.64,D,0
14.650179,99.108521,330.4,0.5,0.49,2022-02-01,0706,N,VIIRS,l,1,302.79,2.81,D,0
14.949766,101.526215,367,0.37,0.58,2022-02-01,0706,N,VIIRS,h,1,292.94,6.69,D,0
