latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
17.97855,100.62753,345.03,0.38,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.85,4.15,D
17.63299,98.67197,340.99,0.51,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,297.63,7.69,D
17.76864,99.27927,346.85,0.47,0.48,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.88,6.96,D
17.90997,99.88893,341.52,0.43,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.56,4.1,D
18.07629,100.77516,336.48,0.56,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.44,5.68,D
18.14628,101.03101,332.85,0.54,0.42,2023-02-23,0612,N,VIIRS,l,2.0NRT,303.08,4.53,D
17.97128,100.01147,340.57,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.68,7.76,D
13.07359,101.76773,334.64,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,306.28,3.85,D
13.07762,101.76703,341.28,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.15,4.54,D
13.00086,101.32326,342.97,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.1,6.49,D
13.09481,101.04471,335.07,0.43,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.44,3.68,D
12.91984,100.01022,330.95,0.51,0.49,2023-02-23,0612,N,VIIRS,l,2.0NRT,302.05,2.43,D
13.19931,101.4142,343.09,0.41,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.22,5.97,D
13.32475,100.99399,345.19,0.43,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.04,5.51,D
13.7178,102.40839,334,0.53,0.42,2023-02-23,0612,N,VIIRS,l,2.0NRT,305.47,2.76,D
13.65368,101.83386,335.73,0.57,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,307.38,66.3,D
13.61106,101.3111,353.84,0.41,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.34,8.1,D
13.61517,101.31035,342.63,0.41,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.31,4.74,D
13.60654,100.9679,341.82,0.43,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.14,6.33,D
13.80697,102.10904,342.06,0.55,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,307.02,5.48,D
13.61074,100.96712,343.42,0.43,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.69,6.33,D
13.80662,102.10647,336.04,0.55,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.78,6.23,D
13.61088,100.96735,343.98,0.43,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.6,7.34,D
13.55614,100.66737,332.56,0.45,0.47,2023-02-23,0612,N,VIIRS,l,2.0NRT,305.61,2.94,D
13.98188,102.82375,331.23,0.5,0.41,2023-02-23,0612,N,VIIRS,l,2.0NRT,302.5,4.15,D
13.98032,102.81456,333.98,0.5,0.41,2023-02-23,0612,N,VIIRS,l,2.0NRT,304.93,2.88,D
13.79166,101.60188,341.91,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.29,6.45,D
13.77668,101.49199,330.48,0.4,0.44,2023-02-23,0612,N,VIIRS,l,2.0NRT,305.42,1.82,D
13.46849,99.52519,342.5,0.54,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,307.21,9,D
13.4191,99.25155,340.16,0.56,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.87,4.82,D
13.82957,101.53435,330.61,0.39,0.44,2023-02-23,0612,N,VIIRS,l,2.0NRT,305.5,1.74,D
13.46642,99.52748,340.68,0.54,0.5,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.28,5.31,D
13.41968,99.25345,344.16,0.56,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.55,7.56,D
13.82839,101.38657,336.49,0.4,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.63,2.28,D
14.45169,104.97725,331.06,0.4,0.37,2023-02-23,0612,N,VIIRS,l,2.0NRT,301.48,2.54,D
13.96151,101.8644,335.9,0.56,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.98,6.75,D
13.84401,101.13804,349.14,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.63,12.94,D
13.51308,99.23014,334.47,0.56,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.05,6.79,D
13.5123,99.22589,334.87,0.56,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,299.93,4.31,D
13.93915,101.61488,347.06,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,308.35,6.77,D
13.51768,99.2286,331.55,0.56,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.66,6.79,D
13.5169,99.22432,333.73,0.56,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,299.24,4.31,D
14.13131,102.68027,343.18,0.5,0.41,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.7,13.15,D
14.13049,102.67536,335.99,0.5,0.41,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.8,4.29,D
14.13429,102.67497,334.23,0.5,0.41,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.58,4.29,D
14.13193,102.68199,331.19,0.5,0.41,2023-02-23,0612,N,VIIRS,l,2.0NRT,302.21,6.35,D
14.13107,102.67702,348.75,0.5,0.41,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.94,9.47,D
15.11154,99.65358,342.75,0.49,0.49,2023-02-23,0612,N,VIIRS,n,2.0NRT,306.76,3.99,D
14.13489,102.67673,330.48,0.5,0.41,2023-02-23,0612,N,VIIRS,n,2.0NRT,299.92,9.47,D
13.51351,99.22771,346.6,0.56,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.61,15.89,D
13.51892,99.23045,336.02,0.56,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.81,10.67,D
13.98678,101.66817,340.09,0.38,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.49,4.62,D
13.98051,101.6326,342.35,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.85,4.55,D
13.98451,101.63187,345.54,0.39,0.44,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.84,4.55,D
13.91139,101.00153,335.7,0.42,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.96,4.1,D
14.00264,101.49844,330.14,0.39,0.44,2023-02-23,0612,N,VIIRS,l,2.0NRT,304.98,4.28,D
14.02056,101.31997,335.8,0.4,0.44,2023-02-23,0612,N,VIIRS,l,2.0NRT,308.49,4.22,D
14.72178,105.46732,338.53,0.39,0.36,2023-02-23,0612,N,VIIRS,n,2.0NRT,307.19,3.63,D
14.72971,105.4959,343.5,0.39,0.36,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.69,5.73,D
14.73248,105.49168,333.42,0.39,0.36,2023-02-23,0612,N,VIIRS,l,2.0NRT,306.37,5.34,D
14.73973,105.4942,331.77,0.39,0.36,2023-02-23,0612,N,VIIRS,l,2.0NRT,304.17,3.19,D
13.91541,100.61479,330.28,0.45,0.47,2023-02-23,0612,N,VIIRS,l,2.0NRT,301.48,2.52,D
14.16496,101.92944,334.25,0.55,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.2,7.94,D
14.16805,101.9239,337.46,0.55,0.43,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.88,7.94,D
13.69636,99.18493,367,0.56,0.51,2023-02-23,0612,N,VIIRS,h,2.0NRT,301.5,14.75,D
14.07652,101.27887,336.46,0.4,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.76,3.68,D
13.7027,99.19288,332.19,0.56,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.23,9.77,D
13.70193,99.18866,348.26,0.56,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.58,9.77,D
13.70113,99.18431,343.23,0.56,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,297.09,6.93,D
14.60904,104.43215,334.12,0.42,0.38,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.41,2.17,D
14.54684,103.93634,330.99,0.44,0.38,2023-02-23,0612,N,VIIRS,l,2.0NRT,303.59,1.42,D
13.78248,99.27449,335.36,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.12,3.57,D
14.12912,101.15327,349.48,0.41,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,307.17,6.33,D
13.77955,99.23279,341.97,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.51,12.3,D
13.77771,99.22292,348.59,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,307.25,13.9,D
13.77678,99.21792,335.11,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.54,13.9,D
14.13383,100.88848,342.07,0.43,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.16,6.73,D
13.82091,99.13987,343.09,0.56,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.73,5.14,D
14.17797,101.11668,338.17,0.41,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,307.86,3.4,D
13.83966,99.21593,354.99,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,306.5,24.72,D
13.82235,99.12103,339.76,0.56,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.26,4.03,D
13.84433,99.21488,341.84,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.2,6.78,D
14.17957,101.11614,339.3,0.41,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,307.13,4.03,D
14.19468,101.15262,337.9,0.41,0.45,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.42,3.07,D
13.82164,99.14209,341.02,0.56,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.97,8.58,D
14.19537,101.13289,334.44,0.41,0.45,2023-02-23,0612,N,VIIRS,l,2.0NRT,307.3,4.7,D
13.84092,99.21782,340.22,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.64,18.14,D
13.84003,99.2131,336.04,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.4,10.87,D
13.82291,99.12299,344.96,0.56,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.21,8.84,D
13.86716,99.20216,333.45,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.76,3.35,D
13.91477,99.32751,343.1,0.54,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,306.53,14,D
13.9437,99.2749,341.75,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.83,3.56,D
14.45813,102.02409,353.07,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.95,16.5,D
13.94629,99.27678,343.01,0.55,0.51,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.76,7.04,D
14.45924,102.02631,336.28,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.18,8.57,D
14.45838,102.02139,347.07,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,304.38,9.94,D
14.47545,102.09578,341.6,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.15,4.86,D
14.4891,102.12837,330.21,0.53,0.42,2023-02-23,0612,N,VIIRS,l,2.0NRT,302.05,2.99,D
14.48877,102.10369,336.31,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.05,6.21,D
14.48792,102.0988,341,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.46,2.85,D
15.00735,105.19451,342.86,0.4,0.37,2023-02-23,0612,N,VIIRS,n,2.0NRT,306.95,3.68,D
14.49681,102.12702,338.63,0.53,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.5,5.72,D
14.47598,102.00768,331.56,0.54,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,303.61,2.71,D
15.01071,105.19394,332.44,0.4,0.37,2023-02-23,0612,N,VIIRS,l,2.0NRT,307.34,2.52,D
14.50065,102.12622,331.47,0.53,0.42,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.1,2.17,D
14.15871,100.16342,333.91,0.47,0.48,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.57,4,D
14.64662,102.81879,337.15,0.49,0.4,2023-02-23,0612,N,VIIRS,n,2.0NRT,308.21,4.42,D
14.27016,100.63147,342.74,0.44,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,305.69,7.85,D
14.26943,100.6274,337.63,0.44,0.46,2023-02-23,0612,N,VIIRS,n,2.0NRT,302.49,5.48,D
15.15017,105.43604,349.27,0.39,0.36,2023-02-23,0612,N,VIIRS,n,2.0NRT,308.97,6.61,D
14.03488,98.99477,341.02,0.57,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,299.93,9.75,D
15.07759,104.91302,337.95,0.4,0.37,2023-02-23,0612,N,VIIRS,l,2.0NRT,308.21,2.3,D
14.07192,99.06106,333.51,0.56,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.46,2.82,D
14.06636,99.03142,336.86,0.56,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,298.58,3.98,D
14.11549,98.95193,333.94,0.57,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,301.22,6.19,D
14.11835,98.94066,340.5,0.57,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.79,6.2,D
14.11931,98.94493,334.22,0.57,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.39,4.95,D
14.11824,98.93936,332.48,0.57,0.52,2023-02-23,0612,N,VIIRS,n,2.0NRT,300.04,4.95,D
