latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
15.97054,100.60837,334.11,0.52,0.5,2023-02-23,0658,1,VIIRS,l,2.0NRT,304.85,6.65,D
15.97113,100.6132,342.73,0.52,0.5,2023-02-23,0658,1,VIIRS,n,2.0NRT,304.85,9.61,D
15.96597,100.60894,341.97,0.52,0.5,2023-02-23,0658,1,VIIRS,n,2.0NRT,306.56,6.65,D
15.96655,100.61378,347.79,0.52,0.5,2023-02-23,0658,1,VIIRS,n,2.0NRT,308.4,9.61,D
16.07458,101.52721,335.85,0.6,0.53,2023-02-23,0658,1,VIIRS,n,2.0NRT,303.68,11.53,D
16.07523,101.53277,345.96,0.6,0.53,2023-02-23,0658,1,VIIRS,n,2.0NRT,304.97,11.53,D
16.18445,102.5872,341.81,0.35,0.57,2023-02-23,0658,1,VIIRS,n,2.0NRT,299.93,3.12,D
15.99419,101.00488,336,0.55,0.51,2023-02-23,0658,1,VIIRS,l,2.0NRT,306.08,2.76,D
15.72798,98.8623,330.22,0.4,0.44,2023-02-23,0658,1,VIIRS,n,2.0NRT,296.69,2.55,D
16.03448,101.43593,331.75,0.59,0.53,2023-02-23,0658,1,VIIRS,l,2.0NRT,302.63,5.45,D
16.27612,103.64724,367,0.42,0.61,2023-02-23,0658,1,VIIRS,h,2.0NRT,301.41,13.07,D
15.77231,99.28116,332.24,0.42,0.45,2023-02-23,0658,1,VIIRS,n,2.0NRT,299.1,4.86,D
14.62584,101.16837,341.64,0.54,0.51,2023-02-23,0658,1,VIIRS,n,2.0NRT,305.35,9.35,D
14.3764,99.30643,346.03,0.41,0.45,2023-02-23,0658,1,VIIRS,n,2.0NRT,304.66,4.32,D
14.37863,99.32387,346.89,0.41,0.45,2023-02-23,0658,1,VIIRS,n,2.0NRT,303.23,8.6,D
14.37911,99.3276,334.94,0.41,0.45,2023-02-23,0658,1,VIIRS,n,2.0NRT,302.49,8.6,D
14.38056,99.33894,340.86,0.41,0.45,2023-02-23,0658,1,VIIRS,n,2.0NRT,301.57,6.18,D
14.37363,99.31736,336.69,0.41,0.45,2023-02-23,0658,1,VIIRS,n,2.0NRT,299.4,7.55,D
14.37506,99.32856,343.81,0.41,0.45,2023-02-23,0658,1,VIIRS,n,2.0NRT,306.24,8.6,D
14.371,99.3295,334.33,0.41,0.45,2023-02-23,0658,1,VIIRS,n,2.0NRT,300.14,3.63,D
14.24645,98.82088,334.77,0.57,0.43,2023-02-23,0658,1,VIIRS,n,2.0NRT,301.68,3.08,D
14.26321,98.94721,335.3,0.39,0.44,2023-02-23,0658,1,VIIRS,l,2.0NRT,306.06,4.37,D
14.64842,102.00161,340.25,0.62,0.54,2023-02-23,0658,1,VIIRS,n,2.0NRT,304.06,11.23,D
14.45715,100.55479,347.49,0.49,0.49,2023-02-23,0658,1,VIIRS,n,2.0NRT,307.18,16.6,D
