latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
15.52009,103.0362,323.18,1.1,1.05,2023-02-23,0635,Aqua,MODIS,56,6.1NRT,308.07,7.48,D
14.86226,99.02894,317.86,2.04,1.39,2023-02-23,0635,Aqua,MODIS,0,6.1NRT,303.27,22.76,D
15.7893,104.58771,339.07,1,1,2023-02-23,0635,Aqua,MODIS,86,6.1NRT,312.16,26.16,D
15.78795,104.57848,341.69,1,1,2023-02-23,0635,Aqua,MODIS,88,6.1NRT,312.77,30.42,D
14.91812,98.98423,316.86,2.05,1.39,2023-02-23,0635,Aqua,MODIS,48,6.1NRT,299.65,24.93,D
14.92353,98.99355,316.79,2.04,1.39,2023-02-23,0635,Aqua,MODIS,41,6.1NRT,301.32,25.21,D
15.71567,103.71124,335.74,1.04,1.02,2023-02-23,0635,Aqua,MODIS,82,6.1NRT,310.5,22.33,D
15.11381,99.74112,324.86,1.78,1.31,2023-02-23,0635,Aqua,MODIS,72,6.1NRT,308.79,18.54,D
15.39157,100.86716,328.49,1.46,1.2,2023-02-23,0635,Aqua,MODIS,75,6.1NRT,311.04,18.66,D
15.93141,104.16677,326.9,1.01,1.01,2023-02-23,0635,Aqua,MODIS,69,6.1NRT,303.63,14.62,D
15.29387,105.49208,325.43,1.01,1,2023-02-23,0635,Aqua,MODIS,53,6.1NRT,309.1,9.34,D
14.23152,98.81287,326.14,2.18,1.43,2023-02-23,0635,Aqua,MODIS,73,6.1NRT,297.37,53.6,D
15.29256,105.48285,328.74,1,1,2023-02-23,0635,Aqua,MODIS,71,6.1NRT,306.54,13.46,D
14.625,101.1609,322.33,1.44,1.19,2023-02-23,0635,Aqua,MODIS,51,6.1NRT,308.08,14.93,D
14.63099,103.13003,325.56,1.11,1.05,2023-02-23,0635,Aqua,MODIS,70,6.1NRT,309.81,10.25,D
14.26711,100.6228,323.84,1.59,1.24,2023-02-23,0635,Aqua,MODIS,42,6.1NRT,304.05,21.36,D
14.27046,100.63028,322.73,1.59,1.24,2023-02-23,0635,Aqua,MODIS,70,6.1NRT,302.46,20.14,D
16.1237,102.10847,321.15,1.2,1.09,2023-02-23,0637,Aqua,MODIS,50,6.1NRT,304.01,9.87,D
16.03195,101.59638,326.55,1.29,1.13,2023-02-23,0637,Aqua,MODIS,71,6.1NRT,308.94,14.25,D
15.96861,101.51684,338.33,1.3,1.13,2023-02-23,0637,Aqua,MODIS,85,6.1NRT,302,45.76,D
16.35429,104.16013,330.19,1.01,1.01,2023-02-23,0637,Aqua,MODIS,76,6.1NRT,309.41,15.06,D
15.79108,100.75119,328,1.47,1.2,2023-02-23,0637,Aqua,MODIS,76,6.1NRT,311.91,14.4,D
16.00863,102.21181,336.44,1.19,1.08,2023-02-23,0637,Aqua,MODIS,84,6.1NRT,304.35,33.91,D
15.51696,99.39898,316.78,1.86,1.33,2023-02-23,0637,Aqua,MODIS,43,6.1NRT,294.2,20.69,D
15.60406,99.91632,320.44,1.69,1.28,2023-02-23,0637,Aqua,MODIS,45,6.1NRT,301.8,18,D
15.59276,99.91858,327.19,1.69,1.28,2023-02-23,0637,Aqua,MODIS,73,6.1NRT,303.31,32.89,D
16.10467,103.72125,324.2,1.03,1.02,2023-02-23,0637,Aqua,MODIS,59,6.1NRT,308.63,8.37,D
15.55385,100.30302,325.59,1.59,1.24,2023-02-23,0637,Aqua,MODIS,72,6.1NRT,305.82,15.86,D
16.13372,103.97807,326.21,1.02,1.01,2023-02-23,0637,Aqua,MODIS,68,6.1NRT,310.79,9.73,D
15.72385,101.65585,322.78,1.29,1.13,2023-02-23,0637,Aqua,MODIS,39,6.1NRT,307.45,8.23,D
15.72576,101.6675,323.07,1.29,1.13,2023-02-23,0637,Aqua,MODIS,52,6.1NRT,308.32,8.03,D
15.72445,101.66206,327.89,1.29,1.13,2023-02-23,0637,Aqua,MODIS,71,6.1NRT,307.44,15.5,D
15.68069,101.64551,323.06,1.29,1.13,2023-02-23,0637,Aqua,MODIS,59,6.1NRT,308.4,9.02,D
15.2963,99.72888,319.88,1.77,1.3,2023-02-23,0637,Aqua,MODIS,53,6.1NRT,305.12,16.27,D
15.5108,101.16207,332.18,1.39,1.17,2023-02-23,0637,Aqua,MODIS,79,6.1NRT,309.14,25.83,D
16.11746,101.55067,322.77,1.29,1.13,2023-02-23,0637,Aqua,MODIS,64,6.1NRT,308.04,7.85,D
17.2811,99.72569,321.49,1.63,1.26,2023-02-23,0637,Aqua,MODIS,71,6.1NRT,307.2,17.87,D
17.98211,103.63486,337.88,1.02,1.01,2023-02-23,0637,Aqua,MODIS,87,6.1NRT,303.38,29.82,D
17.76986,101.757,323.77,1.19,1.09,2023-02-23,0637,Aqua,MODIS,50,6.1NRT,306.85,11.34,D
17.88159,102.06554,317.26,1.15,1.07,2023-02-23,0637,Aqua,MODIS,45,6.1NRT,300.18,10.4,D
17.79819,100.59504,315.17,1.39,1.17,2023-02-23,0637,Aqua,MODIS,43,6.1NRT,301.62,10.69,D
17.98536,100.85391,325.81,1.33,1.14,2023-02-23,0637,Aqua,MODIS,75,6.1NRT,306.15,20.94,D
18.55753,100.90199,319.89,1.3,1.13,2023-02-23,0637,Aqua,MODIS,63,6.1NRT,301.87,11.39,D
18.5565,100.89573,320.81,1.3,1.13,2023-02-23,0637,Aqua,MODIS,58,6.1NRT,303.47,12.65,D
18.68472,100.30479,313.27,1.41,1.17,2023-02-23,0637,Aqua,MODIS,47,6.1NRT,300.61,8.01,D
18.76998,100.2007,323.27,1.42,1.18,2023-02-23,0637,Aqua,MODIS,76,6.1NRT,301.26,20.54,D
18.82691,100.28504,319.88,1.4,1.17,2023-02-23,0637,Aqua,MODIS,59,6.1NRT,304.11,11.82,D
18.82255,100.27934,321.71,1.4,1.17,2023-02-23,0637,Aqua,MODIS,72,6.1NRT,304.57,14.98,D
18.94374,100.87606,318.12,1.29,1.13,2023-02-23,0637,Aqua,MODIS,66,6.1NRT,301.91,11.52,D
18.70549,98.15183,310.44,2,1.38,2023-02-23,0637,Aqua,MODIS,40,6.1NRT,293.63,16.45,D
18.70193,98.13186,328.99,2,1.38,2023-02-23,0637,Aqua,MODIS,82,6.1NRT,297.49,66.96,D
19.2675,100.78671,317.84,1.29,1.13,2023-02-23,0637,Aqua,MODIS,70,6.1NRT,298.51,14.01,D
19.85541,100.42171,317.05,1.33,1.14,2023-02-23,0637,Aqua,MODIS,70,6.1NRT,297.95,16.25,D
16.98627,101.27574,323.84,1.3,1.13,2023-02-23,0637,Aqua,MODIS,69,6.1NRT,307.4,11.78,D
17.01747,101.40444,321.76,1.28,1.12,2023-02-23,0637,Aqua,MODIS,65,6.1NRT,308.4,10.01,D
17.46598,104.26008,328.63,1,1,2023-02-23,0637,Aqua,MODIS,67,6.1NRT,310.73,12.14,D
17.47489,104.25864,329.42,1,1,2023-02-23,0637,Aqua,MODIS,78,6.1NRT,311.54,12.51,D
17.45453,103.9948,325.18,1.01,1,2023-02-23,0637,Aqua,MODIS,70,6.1NRT,310.17,7.98,D
17.05666,101.20757,324.42,1.31,1.14,2023-02-23,0637,Aqua,MODIS,71,6.1NRT,308.99,14.2,D
17.6349,103.28674,325.16,1.04,1.02,2023-02-23,0637,Aqua,MODIS,56,6.1NRT,307.19,9.14,D
16.97622,101.27747,322.56,1.3,1.13,2023-02-23,0637,Aqua,MODIS,43,6.1NRT,306.78,10.68,D
17.69964,103.59285,325.99,1.02,1.01,2023-02-23,0637,Aqua,MODIS,48,6.1NRT,311.02,9.06,D
17.10861,99.38732,321.87,1.74,1.29,2023-02-23,0637,Aqua,MODIS,64,6.1NRT,305.59,14.42,D
17.10518,99.38295,323.03,1.74,1.29,2023-02-23,0637,Aqua,MODIS,73,6.1NRT,304.83,18.51,D
17.28367,99.74069,318.61,1.62,1.25,2023-02-23,0637,Aqua,MODIS,58,6.1NRT,303.93,12.19,D
16.59679,99.11962,323.27,1.86,1.33,2023-02-23,0637,Aqua,MODIS,73,6.1NRT,299.8,34.99,D
16.5996,99.13551,322.57,1.85,1.33,2023-02-23,0637,Aqua,MODIS,72,6.1NRT,301.17,31.08,D
17.43714,104.31228,329.37,1,1,2023-02-23,0637,Aqua,MODIS,78,6.1NRT,309.91,13.07,D
16.60221,99.12479,332.47,1.86,1.33,2023-02-23,0637,Aqua,MODIS,83,6.1NRT,300.36,59.22,D
16.56394,99.11474,316.05,1.86,1.33,2023-02-23,0637,Aqua,MODIS,56,6.1NRT,299.85,20.81,D
17.2525,103.62948,329.94,1.02,1.01,2023-02-23,0637,Aqua,MODIS,76,6.1NRT,303.49,19.14,D
17.36683,104.52943,328.47,1,1,2023-02-23,0637,Aqua,MODIS,77,6.1NRT,307.68,12.72,D
17.36818,104.5387,323.24,1,1,2023-02-23,0637,Aqua,MODIS,68,6.1NRT,305.79,6.65,D
17.19629,103.86681,326.51,1.01,1.01,2023-02-23,0637,Aqua,MODIS,66,6.1NRT,306.79,13.42,D
16.9666,102.48942,321.84,1.12,1.06,2023-02-23,0637,Aqua,MODIS,50,6.1NRT,307.26,9.72,D
17.1753,104.3541,327.55,1,1,2023-02-23,0637,Aqua,MODIS,60,6.1NRT,309.27,9.56,D
17.16639,104.35552,324.35,1,1,2023-02-23,0637,Aqua,MODIS,32,6.1NRT,308.95,6.55,D
17.09588,104.00108,327.23,1.01,1.01,2023-02-23,0637,Aqua,MODIS,71,6.1NRT,302.48,16.56,D
17.09725,104.01042,322.34,1.01,1,2023-02-23,0637,Aqua,MODIS,56,6.1NRT,302,11.74,D
16.91927,103.12956,329.89,1.06,1.03,2023-02-23,0637,Aqua,MODIS,76,6.1NRT,310.73,13.12,D
16.92076,103.13938,331,1.06,1.03,2023-02-23,0637,Aqua,MODIS,78,6.1NRT,310.1,14.71,D
16.54663,101.66984,316.52,1.25,1.11,2023-02-23,0637,Aqua,MODIS,31,6.1NRT,299.17,13.47,D
16.5483,101.68033,320.61,1.25,1.11,2023-02-23,0637,Aqua,MODIS,62,6.1NRT,301.29,18.29,D
16.59935,102.60388,319.77,1.12,1.06,2023-02-23,0637,Aqua,MODIS,44,6.1NRT,305.67,6.26,D
16.21156,100.70138,326.54,1.46,1.19,2023-02-23,0637,Aqua,MODIS,71,6.1NRT,310.07,12.76,D
16.21619,100.69202,331.1,1.46,1.19,2023-02-23,0637,Aqua,MODIS,81,6.1NRT,312.47,22.2,D
15.95716,99.27074,318.74,1.86,1.33,2023-02-23,0637,Aqua,MODIS,43,6.1NRT,301.55,22.4,D
16.73426,104.23652,319.45,1.01,1,2023-02-23,0637,Aqua,MODIS,24,6.1NRT,304.52,5,D
15.93902,99.30693,321.32,1.85,1.33,2023-02-23,0637,Aqua,MODIS,67,6.1NRT,302.27,23.98,D
15.94198,99.32417,333.52,1.85,1.33,2023-02-23,0637,Aqua,MODIS,84,6.1NRT,302.93,57.62,D
16.71143,104.39213,321.62,1,1,2023-02-23,0637,Aqua,MODIS,49,6.1NRT,307.23,6.32,D
16.50525,103.25962,323.6,1.06,1.03,2023-02-23,0637,Aqua,MODIS,43,6.1NRT,306.59,8.04,D
16.19091,101.68952,318.92,1.26,1.12,2023-02-23,0637,Aqua,MODIS,17,6.1NRT,302.38,11,D
15.96338,100.61036,327.73,1.49,1.21,2023-02-23,0637,Aqua,MODIS,77,6.1NRT,310.99,15.58,D
16.09202,101.45734,329,1.31,1.13,2023-02-23,0637,Aqua,MODIS,52,6.1NRT,307.22,24.51,D
16.51476,104.24611,325.37,1.01,1,2023-02-23,0637,Aqua,MODIS,61,6.1NRT,308.08,12.26,D
16.07255,101.52851,325.92,1.3,1.13,2023-02-23,0637,Aqua,MODIS,70,6.1NRT,308.09,13.05,D
17.44087,104.61551,308.11,1.04,1.02,2023-02-23,1505,Terra,MODIS,74,6.1NRT,292.61,8.57,N
17.03421,102.06805,305.39,1.06,1.03,2023-02-23,1505,Terra,MODIS,64,6.1NRT,292.6,6.64,N
17.03564,102.07774,308.1,1.06,1.03,2023-02-23,1505,Terra,MODIS,73,6.1NRT,292.36,8.64,N
16.94075,102.05967,308.73,1.06,1.03,2023-02-23,1505,Terra,MODIS,75,6.1NRT,293.6,8.58,N
